Status settings, Statusinstellingen
Extended settings, Uitgebreide instellingen
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "Maak in het klantaccount van Sofort GmbH een project aan (let er hierbij op dat u een 'Gateway-project' aanmaakt). U hebt in de volgende stap slechts uw configuratiesleutel nodig."
Project set-up, Aanmaken van een project
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Om Online overschrijving te kunnen aanbieden heeft u een klantaccount bij Sofort GmbH nodig. U bent nog geen klant? <a href='https://www.sofort.com/payment/users/register/'>Registreert u zich dan nu!</a>"
Registration, Registratie
"Just a few steps are required to use SOFORT Banking:", "Om Online overschrijving. te kunnen gebruiken zijn er enkele stappen nodig:"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>", "Met het door TÜV Saarland gecertificeerde betaalsysteem 'Online overschrijving.' betaal je veilig en comfortabel via een rechtstreeks overboekingssysteem met de bekende gegevens en codes die je gebruikt voor internetbankieren (PIN/TAN). Er is geen registratie nodig. De aanbieder ontvangt nadat de overschrijving afgesloten is een bevestiging in realtime. Zo kan hij artikelen die op voorraad zijn en digitale goederen direct versturen - en ontvang jij je bestelling sneller.<a href='http://www.klarna.com/sofort/' target='_blank'>Meer weten.</a>"
"Payment system with data protection certified by TÜV Saarland", "Veilig en eenvoudig"
Send receipt emails, Bevestigings e-mails versturen
SOFORT Banking, Online overschrijving
Sofort., Online overschrijving
About SOFORT Banking,Over Online overschrijving
Module configuration,Moduleconfiguratie
Settings,Basisinstellingen
Activate the module and enter the configuration key. SOFORT will be immediately available in your checkout. Additional settings are not required.,Simpelweg de module activeren en de configuratiesleutel invoeren. Online overschrijving. is dan direct in uw checkout beschikbaar. Overige instellingen zijn niet nodig.
Activate SOFORT Banking in your shop,Activeer Online overschrijving in uw webshop
Use the main website setting,Main website-instelling gebruiken
Configuration key:,Configuratiesleutel
Sort sequence:,Weergavevolgorde
Show only for specific countries:,Uitsluitend voor bepaalde landen weergeven:
Reference settings,Instellingen gebruiksdoeleinde
Reference:,Gebruiksdoeleinde
Reference 2:,Gebruiksdoeleinde 2
"reference1","De volgende jokers (place holder) zijn toegestaan:<br/><ul><li>Bestelnummer: {{order_id}}</li><li>Naam klant: {{name}}</li><li>Factuurdatum: {{date}}</li><li>Naam webshop: {{shopname}}</li><li>Transactie: {{transaction}}</li><li>Customer ID: {{customer_id}}</li><li>Customer Email: {{customer_email}}</li></ul>"
